name,bytes,sha256,widthPx,heightPx,widthUnits,heightUnits,pages,pageSize,background
README.md,2354,3f9bfbcc800c6c007c271bf447f367840758ca302f13e92cfa2cb39f8768ecd3,,,,,,,
puzzles.pdf,90394,4467218aca4868ef4bf67f4edf7979c71953ec8535ed1fc9625471b14a713d61,,,,,3,A4 portrait,
slitherlink-pattern-01-001-puzzle.png,43983,c4d98be826acd337f20597c77a1c54758341183f4e7a9b0a18bf47223352b5af,1520,1520,,,,,white
slitherlink-pattern-01-001-puzzle.svg,5456,5902a14efac1bef0cb3d3b385db9360381d948008a3f2eed495e527d400081d9,,,760,760,,,transparent
slitherlink-pattern-01-001-solution.png,38151,a88ee524698211b0875f2186077ce8cfe46457c52d0116af2228bfa9f782336a,1520,1520,,,,,white
slitherlink-pattern-01-001-solution.svg,9042,f0e2ccb6dec619756ad0b58de017d51c6b14bdc11f01805fe99cb1e6f50a1784,,,760,760,,,transparent
slitherlink-pattern-01-001.json,1782,854791018c4b455bdded6442466cee3a1a90952d288be77322e72522e304eb86,,,,,,,
slitherlink-pattern-01-002-puzzle.png,51033,d300ef01fdb689e92496db5129de1efe68163b6321637e2295e7bf1575f3b0a3,1520,1520,,,,,white
slitherlink-pattern-01-002-puzzle.svg,5245,7a6254caf4c187fbdab6785c08f8ca0cb56d4b7e836edb416427cd9cbdaa9ee8,,,760,760,,,transparent
slitherlink-pattern-01-002-solution.png,45977,e3033fd0f30b63606eae3d278108fdfe68d8fe95c63c9616c686817489ad168b,1520,1520,,,,,white
slitherlink-pattern-01-002-solution.svg,9419,098d206c54b69a3a58f9da0284a1b156fd9d069b28dd1a0bdf46a63cdee525c0,,,760,760,,,transparent
slitherlink-pattern-01-002.json,1788,32f2007dea9c6f0f597ed3de6b358fb72379c388ec7bdf2d8701d2e3a6ac6cc8,,,,,,,
slitherlink-pattern-01-003-puzzle.png,43442,a73a6113df87d22961d65d58d63c9a2983ac4a12ca124c22e0633ce2b3b9eb19,1520,1520,,,,,white
slitherlink-pattern-01-003-puzzle.svg,4506,14becf017a4d0489b89b6771809ba48a5b9c9ff572c6f3cfdb0a222510c59006,,,760,760,,,transparent
slitherlink-pattern-01-003-solution.png,38286,efdd89754739e949bbae86f77841fb3edff4405675e0949b3b7237d96d83adcc,1520,1520,,,,,white
slitherlink-pattern-01-003-solution.svg,7287,10cb9d5198c64990980b8c0049af55d1f8f84ec3ce6899c844b5adebcef72ce2,,,760,760,,,transparent
slitherlink-pattern-01-003.json,1809,30fecb9ab28324c8ed752ee4ca4b0ffcc9d94deec034eea188f8c91be54d47d5,,,,,,,
solutions.pdf,55528,b4cc2f7dedfdad670c572341f42156d878070a295d4541bd41fe6f50db211443,,,,,3,A4 portrait,
