Kundennummer;Firmenname;Ort;Land
10001;Müller Bau GmbH;Augsburg;DE
10002;Schneider Logistik GmbH & Co. KG;Duisburg;DE
10003;Bäckerei Hoffmann e.K.;Passau;DE
10004;Nordtec Maschinenbau AG;Kiel;DE
10005;Kaya Transporte GmbH;Köln;DE
10006;Weber Elektrotechnik GmbH;Leipzig;DE
10007;"Hanseatic Trade Trust & Shipping GmbH";Hamburg;DE
10008;Alpen Holz Import Export GmbH;Salzburg;AT
10009;Hansa Verpackung GmbH;Bremen;DE
10010;Richter Steuerberatung;Mainz;DE
10011;Rhein Solartechnik GmbH;Bonn;DE
10012;Technopromexport GmbH;Berlin;DE
10013;Petrović Metallbau GmbH;Graz;AT
10014;Nowak Umzüge;Dresden;DE
10015;Lange Druckerei OHG;Erfurt;DE
10016;Ostsee Fisch Handel GmbH;Rostock;DE
